"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2025","41.1000","41.3000","41.3138","41.1195","","-0.32%"
"04/03/2025","41.2300","41.3500","41.4433","41.2155","","-0.22%"
"04/02/2025","41.3200","41.3500","41.4401","41.2420","","0.10%"
"04/01/2025","41.2800","41.4000","41.5229","41.2250","","-0.17%"
"03/31/2025","41.3500","41.5450","41.5745","41.3300","","-0.22%"
"03/28/2025","41.4400","41.5500","41.5880","41.4255","","-0.15%"
"03/27/2025","41.5023","41.5800","41.6179","41.4305","","-0.07%"
"03/26/2025","41.5300","41.2550","41.7126","41.2550","","-0.07%"
"03/25/2025","41.5600","41.6750","41.7677","41.4930","","-0.24%"
"03/24/2025","41.6590","41.4000","41.6928","41.3920","","0.29%"
"03/21/2025","41.5400","41.5250","41.6195","41.4500","","0.12%"
"03/20/2025","41.4900","41.5250","41.6176","41.4250","","-0.14%"
"03/19/2025","41.5462","41.5400","41.6481","41.4287","","-0.01%"
"03/18/2025","41.5500","41.5650","41.6366","41.4217","","0.00%"
"03/17/2025","41.5500","41.4850","41.6404","41.3525","","0.44%"
"03/14/2025","41.3700","41.5000","41.6295","41.3555","","-0.31%"
"03/13/2025","41.4997","41.4000","41.5877","41.3499","","-0.05%"
"03/12/2025","41.5200","41.4450","41.5745","41.3300","","0.21%"
"03/11/2025","41.4342","41.3550","41.4757","41.2355","","0.30%"
"03/10/2025","41.3100","41.2650","41.4145","41.1775","","0.51%"
"03/07/2025","41.1000","41.3000","41.3693","41.1455","","-0.24%"
"03/06/2025","41.2000","41.4500","41.5195","41.1995","","-0.24%"
"03/05/2025","41.3000","41.5500","41.5745","41.3225","","-0.29%"
"03/04/2025","41.4200","41.6000","41.7153","41.4100","","-0.31%"
"03/03/2025","41.5500","41.5500","41.7128","41.4750","","0.36%"
"02/28/2025","41.4000","41.5200","41.7395","41.3915","","0.00%"
"02/27/2025","41.4000","41.6400","41.7595","41.4525","","-0.43%"
"02/26/2025","41.5800","41.7500","41.8225","41.5555","","-0.36%"
"02/25/2025","41.7300","41.7600","41.8442","41.5950","","0.00%"
"02/24/2025","41.7300","41.6500","41.7835","41.5230","","0.31%"
"02/21/2025","41.6000","41.6900","41.7345","41.4750","","0.07%"
"02/20/2025","41.5690","41.6000","41.8083","41.5000","","-0.34%"
"02/19/2025","41.7100","41.6350","41.7638","41.5250","","0.19%"
"02/18/2025","41.6300","41.6000","41.7177","41.4505","","0.29%"
"02/17/2025","41.5100","41.6500","41.7627","41.4555","","-0.19%"
"02/14/2025","41.5876","41.6500","41.8184","41.4955","","-0.34%"
"02/13/2025","41.7300","41.6500","41.9032","41.5568","","-0.17%"
"02/12/2025","41.8000","41.5500","41.8443","41.5250","","0.15%"
"02/11/2025","41.7390","41.6000","41.7627","41.4170","","0.32%"
"02/10/2025","41.6050","41.5250","41.6627","41.3750","","0.25%"
"02/07/2025","41.5000","41.4800","41.6159","41.3205","","0.17%"
"02/06/2025","41.4302","41.6250","41.6916","41.3995","","-0.31%"
"02/05/2025","41.5600","41.8000","41.8545","41.5525","","-0.29%"
"02/04/2025","41.6800","41.6950","41.9022","41.6450","","0.14%"
"02/03/2025","41.6200","41.6900","41.9668","41.6505","","-0.05%"
"01/31/2025","41.6400","41.7500","41.9070","41.5755","","-0.31%"
"01/30/2025","41.7700","41.9100","42.0692","41.7245","","-0.30%"
"01/29/2025","41.8945","41.9700","42.0895","41.8005","","-0.01%"
"01/28/2025","41.9000","41.9500","42.5122","41.8175","","-0.12%"
"01/27/2025","41.9500","41.9500","42.0953","41.8200","","0.24%"
"01/24/2025","41.8500","41.9500","42.0814","41.8300","","-0.19%"
"01/23/2025","41.9300","42.0000","42.1009","41.9260","","-0.12%"
"01/22/2025","41.9800","42.1000","42.1765","41.9695","","-0.21%"
"01/21/2025","42.0700","42.1550","42.2508","42.0480","","-0.26%"
"01/20/2025","42.1800","42.1000","42.2309","42.0730","","0.21%"
"01/17/2025","42.0900","42.1500","42.2207","42.0325","","-0.09%"
"01/16/2025","42.1290","42.1950","42.2783","42.0737","","0.05%"
"01/15/2025","42.1100","42.2500","42.3130","42.1005","","-0.38%"
"01/14/2025","42.2700","42.3550","42.3710","42.1350","","-0.12%"
"01/13/2025","42.3200","42.2650","42.4020","42.1375","","0.21%"
"01/10/2025","42.2300","42.2500","42.3806","42.1425","","-0.39%"
"01/09/2025","42.3942","42.3013","42.4227","42.1325","","0.22%"
"01/08/2025","42.3000","42.2500","42.4230","42.1150","","0.14%"
"01/07/2025","42.2400","42.1500","42.3405","42.1050","","0.02%"
